id,sku,name_en,name_ar,category,price,stock_quantity,description_en,description_ar,image_url,barcode,expiry_date,is_active
1,MED-00001,"Panadol Extra","بانادول إكسترا",Medicine,45.00,30,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,62250239887,2026-09-13,1
2,MED-00002,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,65,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622816112982,2027-02-26,1
3,COS-00003,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,102,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622328448827,2026-05-06,1
4,SUP-00004,"Centrum Men","سنتروم رجال",Supplements,420.00,44,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622446953618,2026-12-28,1
5,MED-00005,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,68,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622268372484,2026-03-29,1
6,MED-00006,"Panadol Extra","بانادول إكسترا",Medicine,45.00,60,"For tough pain relief.","لتسكين الآلام الشديدة.",https://placehold.co/300x300?text=Panadol%20Extra,622718136887,2027-07-30,1
7,MED-00007,"Cataflam 50mg","كاتافلام 50 مجم",Medicine,38.50,166,"Fast acting anti-inflammatory.","مضاد للالتهابات سريع المفعول.",https://placehold.co/300x300?text=Cataflam%2050mg,622115913763,2026-06-24,1
8,COS-00008,"Nivea Soft Cream","نيفيا سوفت كريم",Cosmetics,85.00,64,"Moisturizing cream.","كريم مرطب.",https://placehold.co/300x300?text=Nivea%20Soft%20Cream,622456468990,2027-07-07,1
9,SUP-00009,"Centrum Men","سنتروم رجال",Supplements,420.00,14,"Multivitamin for men.","مكمل غذائي متعدد الفيتامينات.",https://placehold.co/300x300?text=Centrum%20Men,622669398601,2026-11-11,1
10,MED-00010,"Augmentin 1g","أوجمانتين 1 جم",Medicine,90.00,89,"Broad spectrum antibiotic.","مضاد حيوي واسع المجال.",https://placehold.co/300x300?text=Augmentin%201g,622753384924,2027-09-27,1
